asin,title,imgUrl,stars,price,listPrice,category_id
B0BJ5YVTPR,Squishmallows 12'' Oogie and Zero - Nightmare Before Christmas Official Kellytoy Halloween - Cute and Soft Plush Stuffed Animals -Set of 2 - Great Gift for Kids - Ages 2+ K17-297NBC-12JK,https://m.media-amazon.com/images/I/61SKtsM5+qL._AC_UL320_.jpg,0,54.99,59.99,270
B0C8ZQ8675,"2023 New Stereo Headphones in-Ear Earbuds for Samsung Galaxy S23 Ultra Galaxy S22 Ultra S21 Ultra S20 Ultra, Galaxy Note 10+ Type-C Connector with Microphone and Volume Remote - White",https://m.media-amazon.com/images/I/51DE+DVsf8L._AC_UL320_.jpg,0,26.68,0.0,71
B08PJCGQL6,"LG 22” 22SM3G-B Series IPS FHD LED Back-lit Digital Display with Embedded CMS, Quad Core SoC with webOS? 4.0, Smart Signage Platform, & Built-in WiFi,Black",https://m.media-amazon.com/images/I/61f3Ebg21wL._AC_UL320_.jpg,0,359.48,409.99,56
B084HLCFY2,Men's Cotton Classics 3-Pack Trunk,https://m.media-amazon.com/images/I/51kptFge+XL._AC_UL320_.jpg,0,35.95,46.0,110
B0BRNN3C49,Cuberspeed yj tianyuan o2 Cube v3 Speed Cube 1x1 Magic Cube Puzzle O2 Unique Cubes,https://m.media-amazon.com/images/I/31Yf65jPfQL._AC_UL320_.jpg,0,8.88,9.99,227
B08VTSCJP9,"Global ATF, Full Synthetic, OEM Grade, Wide Specification Range for US, European, and Asian Vehicles, Compatible with TES 295, DEX VI, Mercon V, and Many Others (1 Gallon)",https://m.media-amazon.com/images/I/81Z+Uxf-j1L._AC_UL320_.jpg,0,9.99,0.0,20
B0C4JGDX1C,Cargo Shorts for Men Loose Relaxed Fit Hiking Outdoor Pants with Multi Pockets,https://m.media-amazon.com/images/I/71AfUrZQeNL._AC_UL320_.jpg,0,29.89,32.99,110
B07G9SKNRL,Men's Joggers Hydrafit Track Pants Men's Sweatpants Active Sports Running Workout Pant Zipper Pockets,https://m.media-amazon.com/images/I/61rfiKOc2GL._AC_UL320_.jpg,0,49.99,0.0,110
B0CBC68X87,Men's Casual Shirt Jacket Cotton Linen Shacket Lightweight Work Coat Button Down Overshirt,https://m.media-amazon.com/images/I/71Y739n6B4L._AC_UL320_.jpg,0,35.99,0.0,110
B09TS96CJH,Arcade1Up Super PAC-MAN Partycade - 10 Games,https://m.media-amazon.com/images/I/719oeaRAH+L._AC_UY218_.jpg,0,299.99,0.0,255
B082YPM4FG,Men's Tech 6-inch Boxerjock 2-Pack,https://m.media-amazon.com/images/I/51tcpGXDDXL._AC_UL320_.jpg,0,24.99,35.0,110
B0BS3V28F2,Women Retro Tankini Swimdress Tummy Control Bathing Suits Two Piece Tankini Tops with Bikini Bottoms Twist Swimwear,https://m.media-amazon.com/images/I/61hrOnPGQIL._MCnd_AC_UL320_.jpg,0,34.88,0.0,116
B089LNHYNF,"Boley Die Cast Car Truck Carrier - 14 Piece Toy Trucks, Cars, and Traffic Signs Playset for Kids and Toddler Boys and Girls Ages 3 and Up",https://m.media-amazon.com/images/I/91bTI4hiJpL._AC_UL320_.jpg,0,26.99,0.0,270
B01MXM5LJA,Flash Furniture Fusion Series Contemporary White LeatherSoft Side Reception Chair,https://m.media-amazon.com/images/I/51wWQOMMY5L._AC_UL320_.jpg,0,100.58,0.0,166
B088PDBCML,"Powerextra 1:16 RC Stunt Car Gesture Sensing, with [Light & Music] for Boys Watch Hand Remote Control Car, Double Sided Rotating Off-Road Vehicle 360° Flips with 2 Batteries, Boy's Birthday Gift",https://m.media-amazon.com/images/I/81F9gGnFc5L._AC_UL320_.jpg,0,39.99,0.0,270
B0B993XCGS,"Rack Mount Fan - 2 Fan Server Cooling System - 1U 19"" Rackmount Cabinet Panel Adjustable Temperature Control (Digital Heat Monitor Display) Sensor Alarm (Overheat Air Flow Top Exhaust) Tupavco TP1721",https://m.media-amazon.com/images/I/61Zttd7w+QL._AC_UL320_.jpg,0,79.99,0.0,63
B0B2JFG4GX,Women's Lace-up Bell Bottom Denim Pants Mid Waist Stretchy Flare Juniors Jeans Trouser Leggings,https://m.media-amazon.com/images/I/51DZj7io3vL._AC_UL320_.jpg,0,32.99,0.0,116
B07QMTYNKK,12 PACK Vita-Lip Gloss 4 Honey + 4 SHEA BUTTER + 4 Vitamin E Oil by Kiss Cosmetics,https://m.media-amazon.com/images/I/81ImuCL+pNL._AC_UL320_.jpg,0,10.12,0.0,48
B07KYXX2W2,"mDesign Plastic Oval Small 2.25 Gallon/8.5 Liter Trash Can Wastebasket, Garbage Container Bin for Bathroom, Kitchen, Office, Dorm - Holds Waste, Refuse, Recycling, Hyde Collection, Dark Brown",https://m.media-amazon.com/images/I/418vnFXOMuL._AC_UL320_.jpg,0,20.99,24.99,166
B09X1HDM36,"Keephifi Earphone BLON BL-max in-Ear Monitor 6mm Lightweight Diaphragm and 10mm Carbon Diaphragm Headphones for HiFi Music Headsets with 2 Pin Removable Cable (no mic, Blue)",https://m.media-amazon.com/images/I/518NxdWLoLL._AC_UL320_.jpg,0,36.99,0.0,71
B00B2HOS08,"UGREEN Mini HDMI to HDMI Adapter, HDMI to Mini HDMI Female Cable 4K Compatible with Raspberry Pi Zero 2 W/W DSLR Camera Camcorder Graphics Video Card Laptop Pico Projector Tablet 0.6FT",https://m.media-amazon.com/images/I/71iN6l9CyOL._AC_UL320_.jpg,0,8.99,9.99,69
B00791F4KY,"NYX PROFESSIONAL MAKEUP Wonder Stick, Face Shaping & Contouring Stick - Universal Light",https://m.media-amazon.com/images/I/61WBHQ1qWmL._AC_UL320_.jpg,0,10.15,14.0,48
